event_id,meter_id,event_timestamp,event_type,severity,description
E000000751,402,2026-01-04 05:10:00,firmware_update,low,firmware update detected
E000000752,97,2026-01-04 19:10:00,connection_lost,high,connection lost detected
E000000753,35,2026-01-04 11:28:00,connection_lost,high,connection lost detected
E000000754,227,2026-01-04 20:47:00,high_voltage,high,high voltage detected
E000000755,406,2026-01-04 01:35:00,low_voltage,medium,low voltage detected
E000000756,400,2026-01-04 17:10:00,meter_reset,medium,meter reset detected
E000000757,105,2026-01-04 09:35:00,meter_reset,medium,meter reset detected
E000000758,331,2026-01-04 05:50:00,connection_lost,high,connection lost detected
E000000759,121,2026-01-04 19:40:00,low_voltage,medium,low voltage detected
E000000760,60,2026-01-04 04:15:00,high_voltage,high,high voltage detected
E000000761,412,2026-01-04 20:07:00,meter_reset,medium,meter reset detected
E000000762,128,2026-01-04 02:01:00,firmware_update,low,firmware update detected
E000000763,48,2026-01-04 07:27:00,low_voltage,medium,low voltage detected
E000000764,88,2026-01-04 19:40:00,firmware_update,low,firmware update detected
E000000765,347,2026-01-04 09:28:00,high_voltage,high,high voltage detected
E000000766,163,2026-01-04 21:49:00,connection_lost,high,connection lost detected
E000000767,363,2026-01-04 08:19:00,low_voltage,medium,low voltage detected
E000000768,128,2026-01-04 05:45:00,firmware_update,low,firmware update detected
E000000769,16,2026-01-04 18:12:00,low_voltage,medium,low voltage detected
E000000770,80,2026-01-04 02:31:00,high_voltage,high,high voltage detected
E000000771,411,2026-01-04 20:48:00,low_voltage,medium,low voltage detected
E000000772,121,2026-01-04 03:32:00,connection_lost,high,connection lost detected
E000000773,419,2026-01-04 11:10:00,high_voltage,high,high voltage detected
E000000774,93,2026-01-04 18:21:00,tamper_alert,high,tamper alert detected
E000000775,273,2026-01-04 17:07:00,connection_lost,high,connection lost detected
E000000776,492,2026-01-04 12:13:00,low_voltage,medium,low voltage detected
E000000777,82,2026-01-04 09:42:00,high_voltage,high,high voltage detected
E000000778,221,2026-01-04 22:22:00,tamper_alert,high,tamper alert detected
E000000779,285,2026-01-04 02:08:00,firmware_update,low,firmware update detected
E000000780,268,2026-01-04 08:39:00,connection_lost,high,connection lost detected
E000000781,79,2026-01-04 10:23:00,meter_reset,medium,meter reset detected
E000000782,74,2026-01-04 15:55:00,tamper_alert,high,tamper alert detected
E000000783,437,2026-01-04 06:35:00,high_voltage,high,high voltage detected
E000000784,114,2026-01-04 07:29:00,tamper_alert,high,tamper alert detected
E000000785,47,2026-01-04 04:50:00,firmware_update,low,firmware update detected
E000000786,444,2026-01-04 07:43:00,connection_lost,high,connection lost detected
E000000787,258,2026-01-04 12:05:00,connection_lost,high,connection lost detected
E000000788,271,2026-01-04 22:14:00,connection_lost,high,connection lost detected
E000000789,131,2026-01-04 05:28:00,firmware_update,low,firmware update detected
E000000790,99,2026-01-04 10:31:00,firmware_update,low,firmware update detected
E000000791,349,2026-01-04 15:58:00,connection_lost,high,connection lost detected
E000000792,53,2026-01-04 14:22:00,connection_lost,high,connection lost detected
E000000793,167,2026-01-04 08:00:00,firmware_update,low,firmware update detected
E000000794,203,2026-01-04 20:45:00,low_voltage,medium,low voltage detected
E000000795,305,2026-01-04 15:54:00,firmware_update,low,firmware update detected
E000000796,110,2026-01-04 09:42:00,connection_lost,high,connection lost detected
E000000797,2,2026-01-04 08:01:00,connection_lost,high,connection lost detected
E000000798,255,2026-01-04 08:06:00,connection_lost,high,connection lost detected
E000000799,245,2026-01-04 06:11:00,connection_lost,high,connection lost detected
E000000800,61,2026-01-04 12:30:00,tamper_alert,high,tamper alert detected
E000000801,262,2026-01-04 09:56:00,connection_lost,high,connection lost detected
E000000802,33,2026-01-04 23:33:00,tamper_alert,high,tamper alert detected
E000000803,268,2026-01-04 16:42:00,connection_lost,high,connection lost detected
E000000804,51,2026-01-04 18:13:00,high_voltage,high,high voltage detected
