event_id,meter_id,event_timestamp,event_type,severity,description
E000000001,158,2026-01-01 06:48:00,low_voltage,medium,low voltage detected
E000000002,282,2026-01-01 22:01:00,firmware_update,low,firmware update detected
E000000003,221,2026-01-01 16:54:00,firmware_update,low,firmware update detected
E000000004,455,2026-01-01 00:27:00,low_voltage,medium,low voltage detected
E000000005,442,2026-01-01 10:24:00,low_voltage,medium,low voltage detected
E000000006,421,2026-01-01 01:41:00,tamper_alert,high,tamper alert detected
E000000007,88,2026-01-01 22:38:00,low_voltage,medium,low voltage detected
E000000008,421,2026-01-01 19:31:00,tamper_alert,high,tamper alert detected
E000000009,297,2026-01-01 07:40:00,connection_lost,high,connection lost detected
E000000010,499,2026-01-01 20:18:00,connection_lost,high,connection lost detected
E000000011,198,2026-01-01 19:34:00,firmware_update,low,firmware update detected
E000000012,439,2026-01-01 13:16:00,tamper_alert,high,tamper alert detected
E000000013,168,2026-01-01 02:15:00,meter_reset,medium,meter reset detected
E000000014,163,2026-01-01 19:03:00,connection_lost,high,connection lost detected
E000000015,404,2026-01-01 04:32:00,firmware_update,low,firmware update detected
E000000016,46,2026-01-01 21:37:00,connection_lost,high,connection lost detected
E000000017,74,2026-01-01 17:45:00,connection_lost,high,connection lost detected
E000000018,166,2026-01-01 08:19:00,low_voltage,medium,low voltage detected
E000000019,43,2026-01-01 16:37:00,connection_lost,high,connection lost detected
E000000020,352,2026-01-01 01:54:00,connection_lost,high,connection lost detected
E000000021,322,2026-01-01 05:06:00,meter_reset,medium,meter reset detected
E000000022,18,2026-01-01 15:59:00,meter_reset,medium,meter reset detected
E000000023,312,2026-01-01 20:09:00,connection_lost,high,connection lost detected
E000000024,494,2026-01-01 08:19:00,tamper_alert,high,tamper alert detected
E000000025,325,2026-01-01 07:42:00,low_voltage,medium,low voltage detected
E000000026,148,2026-01-01 16:29:00,high_voltage,high,high voltage detected
E000000027,183,2026-01-01 14:35:00,high_voltage,high,high voltage detected
E000000028,8,2026-01-01 11:47:00,meter_reset,medium,meter reset detected
E000000029,444,2026-01-01 14:24:00,meter_reset,medium,meter reset detected
E000000030,312,2026-01-01 09:19:00,firmware_update,low,firmware update detected
E000000031,491,2026-01-01 22:46:00,connection_lost,high,connection lost detected
E000000032,426,2026-01-01 08:15:00,connection_lost,high,connection lost detected
