event_id,meter_id,event_timestamp,event_type,severity,description
E000000501,45,2026-01-03 06:38:00,connection_lost,high,connection lost detected
E000000502,364,2026-01-03 07:38:00,connection_lost,high,connection lost detected
E000000503,190,2026-01-03 03:00:00,meter_reset,medium,meter reset detected
E000000504,73,2026-01-03 17:18:00,low_voltage,medium,low voltage detected
E000000505,144,2026-01-03 15:53:00,meter_reset,medium,meter reset detected
E000000506,233,2026-01-03 04:18:00,high_voltage,high,high voltage detected
E000000507,432,2026-01-03 03:42:00,low_voltage,medium,low voltage detected
E000000508,76,2026-01-03 13:37:00,meter_reset,medium,meter reset detected
E000000509,313,2026-01-03 12:32:00,firmware_update,low,firmware update detected
E000000510,231,2026-01-03 18:14:00,firmware_update,low,firmware update detected
E000000511,465,2026-01-03 22:51:00,meter_reset,medium,meter reset detected
E000000512,260,2026-01-03 00:31:00,firmware_update,low,firmware update detected
E000000513,329,2026-01-03 08:14:00,high_voltage,high,high voltage detected
E000000514,259,2026-01-03 23:16:00,tamper_alert,high,tamper alert detected
E000000515,73,2026-01-03 01:40:00,firmware_update,low,firmware update detected
E000000516,398,2026-01-03 18:47:00,meter_reset,medium,meter reset detected
E000000517,449,2026-01-03 22:44:00,high_voltage,high,high voltage detected
E000000518,29,2026-01-03 19:44:00,meter_reset,medium,meter reset detected
E000000519,237,2026-01-03 21:48:00,connection_lost,high,connection lost detected
E000000520,381,2026-01-03 01:17:00,connection_lost,high,connection lost detected
E000000521,47,2026-01-03 10:23:00,meter_reset,medium,meter reset detected
E000000522,435,2026-01-03 09:44:00,tamper_alert,high,tamper alert detected
E000000523,116,2026-01-03 03:21:00,low_voltage,medium,low voltage detected
E000000524,317,2026-01-03 11:48:00,firmware_update,low,firmware update detected
E000000525,165,2026-01-03 04:12:00,connection_lost,high,connection lost detected
E000000526,377,2026-01-03 20:18:00,meter_reset,medium,meter reset detected
E000000527,75,2026-01-03 04:02:00,low_voltage,medium,low voltage detected
E000000528,466,2026-01-03 05:44:00,high_voltage,high,high voltage detected
E000000529,191,2026-01-03 18:05:00,firmware_update,low,firmware update detected
E000000530,5,2026-01-03 03:36:00,low_voltage,medium,low voltage detected
E000000531,400,2026-01-03 04:49:00,connection_lost,high,connection lost detected
E000000532,278,2026-01-03 13:26:00,low_voltage,medium,low voltage detected
E000000533,29,2026-01-03 03:30:00,low_voltage,medium,low voltage detected
E000000534,162,2026-01-03 13:50:00,high_voltage,high,high voltage detected
E000000535,121,2026-01-03 15:06:00,connection_lost,high,connection lost detected
E000000536,212,2026-01-03 09:48:00,firmware_update,low,firmware update detected
E000000537,293,2026-01-03 14:22:00,connection_lost,high,connection lost detected
