reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000000001,1,2026-01-01 00:00:00,0.2226,233.82,3.78,1.0,actual,meter_gateway
R0000000002,1,2026-01-01 00:15:00,0.2812,231.94,5.38,0.947,estimated,legacy_import
R0000000003,1,2026-01-01 00:30:00,0.272,235.33,5.08,0.951,actual,meter_gateway
R0000000004,1,2026-01-01 00:45:00,0.2952,230.76,5.34,0.964,actual,meter_gateway
R0000000005,1,2026-01-01 01:00:00,0.2872,231.94,5.51,0.889,actual,meter_gateway
R0000000006,1,2026-01-01 01:15:00,0.261,229.25,5.63,0.886,actual,meter_gateway
R0000000007,1,2026-01-01 01:45:00,0.2768,228.1,5.12,0.974,actual,meter_gateway
R0000000008,1,2026-01-01 02:00:00,0.2399,233.66,4.13,0.914,actual,meter_gateway
R0000000009,1,2026-01-01 02:15:00,0.2591,231.43,5.0,0.93,actual,meter_gateway
R0000000010,1,2026-01-01 02:30:00,0.2358,237.07,4.59,0.888,actual,meter_gateway
R0000000011,1,2026-01-01 02:45:00,0.2323,222.7,4.3,0.952,actual,meter_gateway
R0000000012,1,2026-01-01 03:00:00,0.2872,235.22,5.15,0.951,actual,meter_gateway
R0000000013,1,2026-01-01 03:15:00,0.2783,226.7,5.31,0.946,actual,meter_gateway
R0000000014,1,2026-01-01 03:30:00,0.3118,232.24,5.51,0.984,actual,meter_gateway
R0000000015,1,2026-01-01 03:45:00,0.221,226.63,4.26,0.978,actual,meter_gateway
R0000000016,1,2026-01-01 04:00:00,0.2424,231.19,4.62,0.954,actual,meter_gateway
R0000000017,1,2026-01-01 04:15:00,0.2541,232.18,5.3,0.915,actual,meter_gateway
R0000000018,1,2026-01-01 04:30:00,0.1977,227.12,3.61,0.977,actual,meter_gateway
R0000000019,1,2026-01-01 04:45:00,0.229,234.94,4.2,0.937,actual,meter_gateway
R0000000020,1,2026-01-01 05:00:00,0.2158,229.31,3.64,0.965,actual,meter_gateway
R0000000021,1,2026-01-01 05:15:00,0.2273,228.63,4.34,0.884,actual,meter_gateway
R0000000022,1,2026-01-01 05:30:00,0.2223,235.8,3.96,0.919,actual,meter_gateway
R0000000023,1,2026-01-01 05:45:00,0.2288,229.46,4.37,0.981,actual,meter_gateway
R0000000024,1,2026-01-01 06:00:00,0.2477,226.55,4.66,0.938,actual,meter_gateway
R0000000025,1,2026-01-01 06:15:00,0.2652,234.23,4.82,0.93,actual,meter_gateway
R0000000026,1,2026-01-01 06:30:00,0.2623,229.69,4.77,0.911,actual,meter_gateway
R0000000027,1,2026-01-01 06:45:00,0.2932,228.2,6.07,0.949,actual,meter_gateway
R0000000028,1,2026-01-01 07:00:00,0.5709,234.5,10.63,0.915,actual,meter_gateway
R0000000029,1,2026-01-01 07:15:00,0.4961,229.37,8.62,0.953,actual,meter_gateway
R0000000030,1,2026-01-01 07:30:00,0.464,228.52,8.44,0.944,actual,meter_gateway
R0000000031,1,2026-01-01 08:00:00,0.6064,235.03,11.42,0.926,actual,meter_gateway
R0000000032,1,2026-01-01 08:15:00,0.6652,231.78,13.24,0.887,actual,meter_gateway
R0000000033,1,2026-01-01 08:30:00,0.6269,227.58,12.39,0.895,actual,meter_gateway
R0000000034,1,2026-01-01 08:45:00,0.6465,223.32,12.18,0.902,actual,meter_gateway
R0000000035,1,2026-01-01 09:00:00,1.1854,233.34,21.44,0.955,actual,meter_gateway
R0000000036,1,2026-01-01 09:15:00,1.1194,226.11,21.74,0.965,actual,meter_gateway
R0000000037,1,2026-01-01 09:30:00,1.0638,219.98,20.26,0.949,actual,meter_gateway
R0000000038,1,2026-01-01 09:45:00,1.0059,226.01,19.09,0.936,actual,meter_gateway
R0000000039,1,2026-01-01 10:00:00,1.1416,226.2,22.73,0.945,actual,meter_gateway
R0000000040,1,2026-01-01 10:15:00,0.9437,228.7,17.93,0.913,actual,meter_gateway
R0000000041,1,2026-01-01 10:30:00,0.8725,225.44,15.25,0.992,actual,meter_gateway
R0000000042,1,2026-01-01 10:45:00,0.9,229.18,16.8,1.0,estimated,legacy_import
R0000000043,1,2026-01-01 11:00:00,0.9137,223.78,17.8,0.971,actual,meter_gateway
R0000000044,1,2026-01-01 11:15:00,0.9947,232.62,17.62,0.952,actual,meter_gateway
R0000000045,1,2026-01-01 11:30:00,1.1464,225.81,21.52,0.959,actual,meter_gateway
R0000000046,1,2026-01-01 11:45:00,0.9304,224.34,18.75,0.924,actual,meter_gateway
R0000000047,1,2026-01-01 12:00:00,0.7932,236.13,14.46,0.965,actual,meter_gateway
R0000000048,1,2026-01-01 12:15:00,0.9852,229.43,20.97,0.927,estimated,legacy_import
R0000000049,1,2026-01-01 12:30:00,1.0717,226.46,18.58,0.985,actual,meter_gateway
R0000000050,1,2026-01-01 12:45:00,1.0619,230.33,19.56,0.94,actual,meter_gateway
R0000000051,1,2026-01-01 13:00:00,1.1952,229.62,22.13,0.916,actual,meter_gateway
R0000000052,1,2026-01-01 13:15:00,0.9452,231.96,17.99,0.932,estimated,legacy_import
R0000000053,1,2026-01-01 13:30:00,1.1331,233.06,20.44,0.911,estimated,legacy_import
R0000000054,1,2026-01-01 13:45:00,0.7817,230.97,14.59,0.899,actual,meter_gateway
R0000000055,1,2026-01-01 14:00:00,0.95,230.03,16.57,0.924,actual,meter_gateway
R0000000056,1,2026-01-01 14:15:00,1.1177,224.61,21.68,0.949,estimated,legacy_import
R0000000057,1,2026-01-01 14:30:00,1.0008,236.45,15.56,0.998,actual,meter_gateway
R0000000058,1,2026-01-01 14:45:00,1.1344,233.4,21.89,0.91,actual,meter_gateway
R0000000059,1,2026-01-01 15:00:00,1.0431,234.19,18.75,0.942,actual,meter_gateway
R0000000060,1,2026-01-01 15:15:00,1.1041,227.67,20.74,0.909,actual,meter_gateway
R0000000061,1,2026-01-01 15:30:00,1.1339,229.46,21.49,0.983,estimated,legacy_import
R0000000062,1,2026-01-01 15:45:00,1.2069,229.79,21.88,0.944,estimated,legacy_import
R0000000063,1,2026-01-01 16:00:00,1.0921,227.26,18.18,1.0,actual,meter_gateway
R0000000064,1,2026-01-01 16:15:00,1.2013,230.23,19.8,0.957,actual,meter_gateway
R0000000065,1,2026-01-01 16:30:00,0.7842,230.41,14.57,0.873,actual,meter_gateway
R0000000066,1,2026-01-01 16:45:00,1.0633,231.07,19.75,0.967,actual,meter_gateway
R0000000067,1,2026-01-01 17:00:00,1.052,231.79,18.84,0.944,actual,meter_gateway
R0000000068,1,2026-01-01 17:15:00,1.0664,229.67,19.52,0.92,estimated,legacy_import
R0000000069,1,2026-01-01 17:30:00,1.0246,226.98,18.2,0.964,actual,meter_gateway
R0000000070,1,2026-01-01 17:45:00,0.9496,228.57,18.66,0.941,actual,meter_gateway
R0000000071,1,2026-01-01 18:00:00,1.0812,228.3,19.01,0.997,actual,meter_gateway
R0000000072,1,2026-01-01 18:15:00,1.2519,235.52,20.28,0.995,estimated,legacy_import
R0000000073,1,2026-01-01 18:30:00,1.0423,225.54,19.4,0.921,actual,meter_gateway
R0000000074,1,2026-01-01 18:45:00,1.0487,225.27,19.26,0.931,actual,meter_gateway
R0000000075,1,2026-01-01 19:00:00,1.1437,227.36,21.38,0.858,estimated,legacy_import
R0000000076,1,2026-01-01 19:15:00,0.9236,235.75,16.04,0.978,actual,meter_gateway
R0000000077,1,2026-01-01 19:30:00,1.0427,235.6,19.26,0.953,actual,meter_gateway
R0000000078,1,2026-01-01 19:45:00,1.1069,228.97,19.99,0.865,actual,meter_gateway
R0000000079,1,2026-01-01 20:00:00,1.0289,230.65,16.74,0.999,actual,meter_gateway
R0000000080,1,2026-01-01 20:15:00,0.9253,230.1,19.3,0.892,actual,meter_gateway
R0000000081,1,2026-01-01 20:30:00,1.011,233.6,18.42,0.938,actual,meter_gateway
R0000000082,1,2026-01-01 20:45:00,1.0537,227.26,19.21,0.936,actual,meter_gateway
R0000000083,1,2026-01-01 21:00:00,0.6638,229.32,11.41,0.948,actual,meter_gateway
R0000000084,1,2026-01-01 21:15:00,0.5741,235.55,11.01,0.947,actual,meter_gateway
R0000000085,1,2026-01-01 21:30:00,0.556,238.37,9.7,0.925,actual,meter_gateway
R0000000086,1,2026-01-01 21:45:00,0.6151,228.83,11.38,0.977,actual,meter_gateway
R0000000087,1,2026-01-01 22:00:00,0.5422,228.38,11.35,0.881,actual,meter_gateway
R0000000088,1,2026-01-01 22:15:00,0.7186,228.76,13.63,0.927,actual,meter_gateway
R0000000089,1,2026-01-01 22:30:00,0.5176,233.7,8.36,0.951,actual,meter_gateway
R0000000090,1,2026-01-01 22:45:00,0.587,227.33,11.06,0.935,actual,meter_gateway
