reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000239197,1,2026-01-06 00:00:00,0.2401,229.53,4.32,0.929,actual,meter_gateway
R0000239198,1,2026-01-06 00:15:00,0.249,227.76,4.66,0.937,actual,meter_gateway
R0000239199,1,2026-01-06 00:30:00,0.2611,223.64,4.76,0.969,estimated,legacy_import
R0000239200,1,2026-01-06 00:45:00,0.2658,235.12,4.88,0.968,actual,meter_gateway
R0000239201,1,2026-01-06 01:00:00,0.2404,221.0,4.53,0.961,estimated,legacy_import
R0000239202,1,2026-01-06 01:15:00,0.2816,229.46,5.37,0.956,estimated,legacy_import
R0000239203,1,2026-01-06 01:30:00,0.2642,226.31,4.4,0.993,actual,meter_gateway
R0000239204,1,2026-01-06 01:45:00,0.2452,225.94,4.46,0.999,actual,meter_gateway
R0000239205,1,2026-01-06 02:00:00,0.253,221.5,4.98,0.953,actual,meter_gateway
R0000239206,1,2026-01-06 02:15:00,0.2195,228.38,3.85,0.993,actual,meter_gateway
R0000239207,UNK_20260106_048,2026-01-06 02:30:00,0.2981,232.27,5.18,0.957,actual,meter_gateway
R0000239208,1,2026-01-06 02:45:00,0.2789,227.74,5.43,0.929,estimated,legacy_import
R0000239209,1,2026-01-06 03:00:00,0.2598,225.48,5.02,0.99,actual,meter_gateway
R0000239210,1,2026-01-06 03:15:00,0.2152,228.98,4.45,0.878,actual,meter_gateway
R0000239211,1,2026-01-06 03:30:00,0.26,237.47,4.36,0.979,actual,meter_gateway
R0000239212,1,2026-01-06 03:45:00,0.1873,229.29,3.71,0.914,actual,meter_gateway
R0000239213,1,2026-01-06 04:00:00,0.2302,229.58,4.19,0.916,actual,meter_gateway
R0000239214,1,2026-01-06 04:15:00,0.2036,229.48,3.42,1.0,actual,meter_gateway
R0000239215,1,2026-01-06 04:30:00,0.226,225.25,3.92,0.953,actual,meter_gateway
R0000239216,1,2026-01-06 04:45:00,0.193,236.25,3.61,0.919,actual,meter_gateway
R0000239217,1,2026-01-06 05:00:00,0.2047,228.86,3.59,0.954,actual,meter_gateway
R0000239218,1,2026-01-06 05:15:00,0.2676,224.99,5.24,0.94,actual,meter_gateway
R0000239219,1,2026-01-06 05:30:00,0.2519,229.95,4.48,0.928,actual,meter_gateway
R0000239220,1,2026-01-06 05:45:00,0.2596,223.74,5.49,0.94,actual,meter_gateway
R0000239221,1,2026-01-06 06:00:00,0.1684,223.93,3.3,0.932,actual,meter_gateway
R0000239222,1,2026-01-06 06:15:00,0.2058,234.24,3.57,0.995,actual,meter_gateway
R0000239223,1,2026-01-06 06:30:00,0.2464,235.99,4.17,0.956,actual,meter_gateway
R0000239224,1,2026-01-06 06:45:00,0.2715,228.63,4.56,0.978,actual,meter_gateway
R0000239225,1,2026-01-06 07:00:00,0.5938,228.36,11.41,0.969,actual,meter_gateway
R0000239226,1,2026-01-06 07:15:00,0.5543,228.87,10.66,0.942,actual,meter_gateway
R0000239227,1,2026-01-06 07:30:00,0.6882,231.04,11.51,0.977,actual,meter_gateway
R0000239228,1,2026-01-06 07:45:00,0.5715,236.43,11.39,0.905,actual,meter_gateway
