reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000095542,1,2026-01-03 00:00:00,0.4108,227.39,7.61,0.97,actual,meter_gateway
R0000095543,1,2026-01-03 00:15:00,0.3554,231.58,6.51,0.954,actual,meter_gateway
R0000095544,1,2026-01-03 00:30:00,0.4173,235.92,7.02,0.993,actual,meter_gateway
R0000095545,1,2026-01-03 00:45:00,0.4261,225.29,7.28,0.995,actual,meter_gateway
R0000095546,1,2026-01-03 01:00:00,0.4483,224.92,8.57,0.94,actual,meter_gateway
R0000095547,1,2026-01-03 01:15:00,0.3626,235.79,6.5,0.924,actual,meter_gateway
R0000095548,1,2026-01-03 01:30:00,0.4297,231.0,8.11,0.907,actual,meter_gateway
R0000095549,1,2026-01-03 01:45:00,0.4008,232.01,6.54,0.942,actual,meter_gateway
R0000095550,1,2026-01-03 02:00:00,0.4674,234.78,8.09,0.967,actual,meter_gateway
R0000095551,1,2026-01-03 02:15:00,0.3563,233.37,6.49,0.953,actual,meter_gateway
R0000095552,1,2026-01-03 02:30:00,0.3383,226.18,6.18,1.0,actual,meter_gateway
R0000095553,1,2026-01-03 02:45:00,0.371,234.11,6.13,0.914,estimated,legacy_import
R0000095554,1,2026-01-03 03:00:00,0.4398,234.67,7.49,0.955,estimated,legacy_import
R0000095555,1,2026-01-03 03:15:00,0.4251,229.12,7.4,0.964,actual,meter_gateway
R0000095556,1,2026-01-03 03:30:00,0.3375,232.45,6.23,0.909,actual,meter_gateway
R0000095557,1,2026-01-03 03:45:00,0.3057,230.43,5.65,0.976,actual,meter_gateway
R0000095558,1,2026-01-03 04:00:00,0.4022,227.51,7.67,0.965,actual,meter_gateway
R0000095559,1,2026-01-03 04:15:00,0.344,235.52,6.64,0.908,actual,meter_gateway
R0000095560,1,2026-01-03 04:30:00,0.3779,233.58,6.71,0.912,actual,meter_gateway
R0000095561,1,2026-01-03 04:45:00,0.4039,229.01,6.65,0.994,actual,meter_gateway
R0000095562,1,2026-01-03 05:00:00,0.3613,230.71,6.77,0.955,actual,meter_gateway
R0000095563,1,2026-01-03 05:15:00,0.3284,233.35,5.74,0.938,actual,meter_gateway
R0000095564,1,2026-01-03 05:30:00,0.4158,228.8,7.67,0.944,actual,meter_gateway
R0000095565,1,2026-01-03 05:45:00,0.4115,232.13,7.98,0.927,actual,meter_gateway
R0000095566,1,2026-01-03 06:00:00,0.4238,224.36,7.54,0.978,actual,meter_gateway
R0000095567,1,2026-01-03 06:15:00,0.4242,231.81,7.89,0.927,actual,meter_gateway
R0000095568,1,2026-01-03 06:30:00,0.377,232.54,6.88,0.917,actual,meter_gateway
R0000095569,1,2026-01-03 06:45:00,0.3339,226.33,6.17,0.966,actual,meter_gateway
R0000095570,1,2026-01-03 07:00:00,0.3772,235.71,7.2,0.915,actual,meter_gateway
R0000095571,1,2026-01-03 07:15:00,0.3202,222.11,5.79,0.987,estimated,legacy_import
R0000095572,1,2026-01-03 07:30:00,0.4432,229.51,7.62,0.903,actual,meter_gateway
R0000095573,1,2026-01-03 07:45:00,0.4359,226.03,7.63,0.99,actual,meter_gateway
R0000095574,1,2026-01-03 08:00:00,0.308,230.16,5.94,0.921,estimated,legacy_import
R0000095575,1,2026-01-03 08:15:00,0.4299,229.35,7.02,0.985,actual,meter_gateway
R0000095576,1,2026-01-03 08:30:00,0.3879,227.76,7.76,0.91,actual,meter_gateway
R0000095577,1,2026-01-03 08:45:00,0.3655,227.53,7.05,0.929,actual,meter_gateway
R0000095578,1,2026-01-03 09:00:00,0.4975,234.17,8.46,0.963,actual,meter_gateway
R0000095579,1,2026-01-03 09:15:00,0.4214,232.79,7.74,0.933,actual,meter_gateway
R0000095580,1,2026-01-03 09:30:00,0.3684,229.4,6.61,0.976,actual,meter_gateway
R0000095581,1,2026-01-03 09:45:00,0.3163,225.58,6.39,0.936,actual,meter_gateway
R0000095582,1,2026-01-03 10:00:00,0.8631,220.87,17.84,0.895,actual,meter_gateway
R0000095583,1,2026-01-03 10:15:00,0.8013,226.14,15.46,0.92,actual,meter_gateway
R0000095584,1,2026-01-03 10:30:00,1.0542,223.99,20.33,0.94,actual,meter_gateway
R0000095585,1,2026-01-03 10:45:00,0.9136,227.63,16.14,0.973,actual,meter_gateway
R0000095586,1,2026-01-03 11:00:00,0.8594,233.74,15.25,0.917,actual,meter_gateway
R0000095587,1,2026-01-03 11:15:00,0.8788,227.95,15.09,0.956,actual,meter_gateway
R0000095588,1,2026-01-03 11:30:00,0.6241,228.77,11.26,0.99,actual,meter_gateway
R0000095589,1,2026-01-03 11:45:00,0.8032,228.6,13.13,0.993,actual,meter_gateway
R0000095590,1,2026-01-03 12:00:00,0.9337,221.94,17.15,0.963,actual,meter_gateway
R0000095591,1,2026-01-03 12:15:00,0.9939,231.63,19.38,0.876,actual,meter_gateway
R0000095592,1,2026-01-03 12:30:00,0.9504,230.46,18.21,0.929,estimated,legacy_import
R0000095593,1,2026-01-03 12:45:00,0.8599,228.15,17.31,0.895,actual,meter_gateway
R0000095594,1,2026-01-03 13:00:00,1.057,232.21,19.22,0.927,actual,meter_gateway
R0000095595,1,2026-01-03 13:15:00,0.8932,228.95,16.55,0.95,actual,meter_gateway
R0000095596,1,2026-01-03 13:30:00,0.8955,231.0,15.77,0.981,actual,meter_gateway
R0000095597,1,2026-01-03 13:45:00,0.8297,234.52,14.78,1.0,actual,meter_gateway
R0000095598,1,2026-01-03 14:00:00,0.9549,230.48,18.1,0.925,actual,meter_gateway
R0000095599,1,2026-01-03 14:15:00,1.0909,232.8,21.68,0.909,actual,meter_gateway
R0000095600,1,2026-01-03 14:30:00,0.9057,235.65,15.6,0.964,actual,meter_gateway
R0000095601,1,2026-01-03 14:45:00,0.9964,231.77,16.98,0.956,estimated,legacy_import
R0000095602,1,2026-01-03 15:00:00,1.0251,235.43,17.48,0.979,actual,meter_gateway
R0000095603,1,2026-01-03 15:15:00,0.8991,232.85,14.86,0.991,actual,meter_gateway
R0000095604,1,2026-01-03 15:30:00,0.7533,224.97,14.7,0.937,actual,meter_gateway
R0000095605,1,2026-01-03 15:45:00,0.9317,225.55,17.95,1.0,actual,meter_gateway
R0000095606,1,2026-01-03 16:00:00,0.9069,232.57,14.34,0.952,actual,meter_gateway
R0000095607,1,2026-01-03 16:15:00,1.0918,233.52,19.82,0.945,actual,meter_gateway
R0000095608,1,2026-01-03 16:30:00,0.9371,230.0,15.52,0.975,actual,meter_gateway
R0000095609,1,2026-01-03 16:45:00,0.8655,222.21,17.03,0.965,actual,meter_gateway
R0000095610,1,2026-01-03 17:00:00,0.9443,231.98,16.01,0.939,actual,meter_gateway
R0000095611,1,2026-01-03 17:15:00,0.9642,228.49,18.38,0.91,actual,meter_gateway
R0000095612,1,2026-01-03 17:30:00,0.8235,234.67,14.7,0.989,actual,meter_gateway
R0000095613,1,2026-01-03 17:45:00,0.8877,236.0,15.09,0.939,actual,meter_gateway
R0000095614,1,2026-01-03 18:00:00,0.9024,230.84,18.88,0.919,estimated,legacy_import
R0000095615,1,2026-01-03 18:15:00,0.9296,234.11,16.29,0.925,estimated,legacy_import
R0000095616,1,2026-01-03 18:30:00,0.9381,229.21,16.48,0.927,estimated,legacy_import
R0000095617,1,2026-01-03 18:45:00,0.9292,223.68,18.95,0.926,estimated,legacy_import
R0000095618,1,2026-01-03 19:00:00,0.9831,229.25,17.8,0.916,actual,meter_gateway
R0000095619,1,2026-01-03 19:15:00,1.0642,227.01,19.58,0.981,actual,meter_gateway
R0000095620,1,2026-01-03 19:30:00,0.9596,229.04,18.67,0.937,actual,meter_gateway
R0000095621,1,2026-01-03 19:45:00,0.9437,230.7,16.52,0.948,actual,meter_gateway
R0000095622,1,2026-01-03 20:00:00,0.388,234.04,7.33,0.924,actual,meter_gateway
R0000095623,1,2026-01-03 20:15:00,0.393,228.65,7.29,0.915,actual,meter_gateway
R0000095624,1,2026-01-03 20:30:00,0.488,226.25,8.19,0.969,actual,meter_gateway
R0000095625,1,2026-01-03 20:45:00,0.3774,229.46,7.49,0.904,actual,meter_gateway
R0000095626,1,2026-01-03 21:00:00,0.3935,225.58,7.51,0.923,actual,meter_gateway
R0000095627,1,2026-01-03 21:15:00,0.4503,231.32,8.89,0.912,actual,meter_gateway
R0000095628,1,2026-01-03 21:30:00,0.3356,232.05,6.39,0.917,actual,meter_gateway
R0000095629,1,2026-01-03 21:45:00,0.3905,228.62,7.3,0.944,actual,meter_gateway
R0000095630,1,2026-01-03 22:00:00,0.3511,224.45,7.04,0.951,actual,meter_gateway
R0000095631,1,2026-01-03 22:15:00,0.4038,234.51,7.11,0.956,actual,meter_gateway
R0000095632,1,2026-01-03 22:30:00,0.417,228.08,6.88,0.969,estimated,legacy_import
R0000095633,1,2026-01-03 22:45:00,0.3219,227.6,5.16,0.941,actual,meter_gateway
R0000095634,1,2026-01-03 23:00:00,0.4656,232.03,8.83,0.995,actual,meter_gateway
R0000095635,1,2026-01-03 23:15:00,0.3292,228.32,5.24,1.0,estimated,legacy_import
R0000095636,1,2026-01-03 23:30:00,0.435,230.15,7.66,0.949,actual,meter_gateway
R0000095637,1,2026-01-03 23:45:00,0.3806,235.08,6.98,0.922,actual,meter_gateway
R0000095638,2,2026-01-03 00:00:00,2.2875,75.0,46.83,0.933,actual,meter_gateway
R0000095639,2,2026-01-03 00:15:00,2.4739,232.87,44.49,0.925,actual,meter_gateway
R0000095640,2,2026-01-03 00:30:00,2.444,228.84,48.21,0.929,actual,meter_gateway
R0000095641,2,2026-01-03 00:45:00,2.2121,231.15,41.54,0.914,actual,meter_gateway
R0000095642,2,2026-01-03 01:00:00,2.4479,239.0,43.63,0.917,actual,meter_gateway
R0000095643,2,2026-01-03 01:15:00,2.2255,224.58,43.39,0.929,actual,meter_gateway
R0000095644,2,2026-01-03 01:30:00,2.7648,228.54,54.35,0.892,actual,meter_gateway
R0000095645,2,2026-01-03 01:45:00,2.9762,227.74,55.45,0.922,actual,meter_gateway
R0000095646,2,2026-01-03 02:00:00,2.4087,230.26,43.2,0.988,actual,meter_gateway
R0000095647,2,2026-01-03 02:15:00,2.5564,230.77,45.29,0.901,actual,meter_gateway
R0000095648,2,2026-01-03 02:30:00,2.7119,227.18,52.07,0.95,actual,meter_gateway
R0000095649,2,2026-01-03 02:45:00,2.3755,233.87,42.62,0.94,actual,meter_gateway
R0000095650,2,2026-01-03 03:00:00,2.5354,232.69,47.59,0.93,actual,meter_gateway
R0000095651,2,2026-01-03 03:15:00,2.6264,233.12,46.95,0.96,actual,meter_gateway
R0000095652,2,2026-01-03 03:30:00,2.6615,228.51,48.47,0.961,actual,meter_gateway
R0000095653,2,2026-01-03 03:45:00,2.4881,227.74,46.01,0.942,actual,meter_gateway
R0000095654,2,2026-01-03 04:00:00,2.4789,225.75,44.6,0.975,actual,meter_gateway
R0000095655,2,2026-01-03 04:15:00,2.4995,238.42,44.89,0.962,actual,meter_gateway
R0000095656,2,2026-01-03 04:30:00,2.5601,238.42,47.21,0.916,actual,meter_gateway
R0000095657,2,2026-01-03 04:45:00,2.393,230.31,46.43,0.941,actual,meter_gateway
R0000095658,2,2026-01-03 05:00:00,2.5539,230.49,50.85,0.913,actual,meter_gateway
R0000095659,2,2026-01-03 05:15:00,2.7257,232.65,51.67,0.947,actual,meter_gateway
R0000095660,2,2026-01-03 05:30:00,2.4447,228.59,45.07,0.928,actual,meter_gateway
R0000095661,2,2026-01-03 05:45:00,2.5236,229.7,50.0,0.94,actual,meter_gateway
R0000095662,2,2026-01-03 06:00:00,2.523,230.49,48.37,0.953,actual,meter_gateway
R0000095663,2,2026-01-03 06:15:00,2.6696,230.6,49.74,0.97,actual,meter_gateway
R0000095664,2,2026-01-03 06:30:00,2.2486,228.16,41.1,0.955,actual,meter_gateway
R0000095665,2,2026-01-03 06:45:00,2.3795,231.95,45.1,0.963,actual,meter_gateway
R0000095666,2,2026-01-03 07:00:00,2.7517,233.28,51.7,0.914,actual,meter_gateway
R0000095667,2,2026-01-03 07:15:00,2.5577,226.42,44.7,0.943,estimated,legacy_import
R0000095668,2,2026-01-03 07:30:00,2.7194,230.74,48.24,1.0,actual,meter_gateway
R0000095669,2,2026-01-03 07:45:00,2.9717,230.16,44.38,1.0,actual,meter_gateway
R0000095670,2,2026-01-03 08:00:00,2.8784,235.72,55.77,0.879,actual,meter_gateway
R0000095671,2,2026-01-03 08:15:00,2.5839,232.85,50.22,0.907,actual,meter_gateway
R0000095672,2,2026-01-03 08:30:00,2.8108,237.75,52.67,0.889,actual,meter_gateway
R0000095673,2,2026-01-03 08:45:00,2.9454,226.93,54.97,0.969,actual,meter_gateway
R0000095674,2,2026-01-03 09:00:00,2.3706,235.12,44.01,0.959,actual,meter_gateway
R0000095675,2,2026-01-03 09:15:00,2.6777,228.15,52.45,0.958,actual,meter_gateway
R0000095676,2,2026-01-03 09:30:00,2.5364,229.13,49.73,0.863,actual,meter_gateway
R0000095677,2,2026-01-03 09:45:00,2.7552,231.8,54.38,0.937,actual,meter_gateway
R0000095678,2,2026-01-03 10:00:00,2.3354,228.51,40.88,0.948,actual,meter_gateway
R0000095679,2,2026-01-03 10:15:00,2.407,225.59,43.91,0.912,actual,meter_gateway
R0000095680,2,2026-01-03 10:30:00,2.3602,228.86,41.39,0.925,actual,meter_gateway
R0000095681,2,2026-01-03 10:45:00,2.8312,231.11,50.78,0.972,estimated,legacy_import
R0000095682,2,2026-01-03 11:00:00,2.9375,229.72,55.18,0.946,actual,meter_gateway
R0000095683,2,2026-01-03 11:15:00,2.3036,227.81,40.81,0.92,actual,meter_gateway
R0000095684,2,2026-01-03 11:30:00,2.3902,223.78,47.78,0.964,actual,meter_gateway
R0000095685,2,2026-01-03 11:45:00,2.3296,232.97,42.72,0.948,actual,meter_gateway
R0000095686,2,2026-01-03 12:00:00,2.4002,227.04,44.46,0.942,actual,meter_gateway
R0000095687,2,2026-01-03 12:15:00,2.444,228.11,46.26,0.933,actual,meter_gateway
R0000095688,2,2026-01-03 12:30:00,2.4882,237.23,41.85,0.974,actual,meter_gateway
R0000095689,2,2026-01-03 12:45:00,2.3062,225.32,43.21,0.958,actual,meter_gateway
