reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000191307,1,2026-01-05 00:00:00,0.2222,231.78,4.0,0.984,actual,meter_gateway
R0000191308,1,2026-01-05 00:15:00,0.189,228.61,3.2,1.0,actual,meter_gateway
R0000191309,1,2026-01-05 00:30:00,0.206,226.99,4.45,0.934,actual,meter_gateway
R0000191310,1,2026-01-05 00:45:00,0.2218,238.7,4.29,0.936,actual,meter_gateway
R0000191311,1,2026-01-05 01:00:00,0.2209,231.96,4.2,0.938,actual,meter_gateway
R0000191312,1,2026-01-05 01:15:00,0.2631,224.73,5.18,0.957,actual,meter_gateway
R0000191313,1,2026-01-05 01:30:00,0.2596,227.2,5.3,0.917,actual,meter_gateway
R0000191314,1,2026-01-05 01:45:00,0.2319,225.37,4.36,0.963,actual,meter_gateway
R0000191315,1,2026-01-05 02:00:00,0.2133,233.29,3.64,0.957,actual,meter_gateway
R0000191316,1,2026-01-05 02:15:00,0.264,235.72,4.55,0.964,actual,meter_gateway
R0000191317,1,2026-01-05 02:30:00,0.2041,225.84,4.1,0.932,actual,meter_gateway
R0000191318,1,2026-01-05 02:45:00,0.2124,230.41,4.17,0.926,actual,meter_gateway
R0000191319,1,2026-01-05 03:00:00,0.2518,232.84,4.79,0.909,actual,meter_gateway
R0000191320,1,2026-01-05 03:15:00,0.2793,228.11,4.98,0.932,estimated,legacy_import
R0000191321,1,2026-01-05 03:30:00,0.1747,225.05,3.12,0.99,actual,meter_gateway
R0000191322,1,2026-01-05 03:45:00,0.2495,228.31,4.79,0.914,actual,meter_gateway
R0000191323,1,2026-01-05 04:00:00,0.2027,231.76,3.89,0.918,actual,meter_gateway
R0000191324,1,2026-01-05 04:15:00,0.2081,228.11,3.88,0.937,actual,meter_gateway
R0000191325,1,2026-01-05 04:30:00,0.251,228.21,4.39,0.956,actual,meter_gateway
R0000191326,1,2026-01-05 04:45:00,0.2061,236.21,3.73,0.936,actual,meter_gateway
R0000191327,1,2026-01-05 05:00:00,0.2575,221.79,5.44,0.877,actual,meter_gateway
R0000191328,1,2026-01-05 05:15:00,0.2873,232.59,5.28,0.963,actual,meter_gateway
