reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000047662,1,2026-01-02 00:00:00,0.2625,226.18,5.17,0.938,actual,meter_gateway
R0000047663,1,2026-01-02 00:15:00,0.2569,225.21,5.56,0.896,actual,meter_gateway
R0000047664,1,2026-01-02 00:30:00,0.2547,228.59,4.69,0.96,actual,meter_gateway
R0000047665,1,2026-01-02 00:45:00,0.2355,226.39,4.13,0.984,actual,meter_gateway
R0000047666,1,2026-01-02 01:00:00,0.2693,229.13,5.47,0.965,estimated,legacy_import
R0000047667,1,2026-01-02 01:15:00,0.2385,229.66,3.91,0.926,actual,meter_gateway
R0000047668,1,2026-01-02 01:30:00,0.2713,232.61,4.95,0.906,actual,meter_gateway
R0000047669,1,2026-01-02 01:45:00,0.2703,224.47,5.2,0.957,actual,meter_gateway
R0000047670,1,2026-01-02 02:00:00,0.2276,231.15,4.29,0.916,actual,meter_gateway
R0000047671,1,2026-01-02 02:15:00,0.2058,230.76,3.5,0.987,actual,meter_gateway
R0000047672,1,2026-01-02 02:30:00,0.2723,233.15,4.7,0.981,actual,meter_gateway
R0000047673,1,2026-01-02 02:45:00,0.2019,225.96,3.54,0.966,actual,meter_gateway
R0000047674,1,2026-01-02 03:00:00,0.2251,219.78,4.76,0.909,estimated,legacy_import
R0000047675,1,2026-01-02 03:15:00,0.2131,228.24,4.03,0.905,actual,meter_gateway
R0000047676,1,2026-01-02 03:30:00,0.2379,234.92,3.91,0.979,actual,meter_gateway
R0000047677,1,2026-01-02 03:45:00,0.2464,230.08,4.21,0.923,estimated,legacy_import
R0000047678,1,2026-01-02 04:00:00,0.2857,224.27,4.97,0.954,estimated,legacy_import
R0000047679,1,2026-01-02 04:15:00,0.2703,232.2,5.76,0.902,actual,meter_gateway
R0000047680,1,2026-01-02 04:30:00,0.2327,222.39,4.36,0.991,actual,meter_gateway
R0000047681,1,2026-01-02 04:45:00,0.2558,228.32,4.93,0.912,actual,meter_gateway
R0000047682,UNK_20260102_025,2026-01-02 05:00:00,0.2565,224.6,4.95,0.918,actual,meter_gateway
R0000047683,1,2026-01-02 05:15:00,228.6204,227.98,4.13,0.926,actual,meter_gateway
R0000047684,1,2026-01-02 05:30:00,0.2551,235.78,4.4,0.929,actual,meter_gateway
R0000047685,1,2026-01-02 05:45:00,0.2415,226.65,4.6,0.951,actual,meter_gateway
R0000047686,1,2026-01-02 06:00:00,0.2244,221.96,4.42,0.901,actual,meter_gateway
R0000047687,1,2026-01-02 06:15:00,0.2303,226.1,4.37,0.955,actual,meter_gateway
R0000047688,1,2026-01-02 06:30:00,0.2162,230.7,3.62,0.951,actual,meter_gateway
R0000047689,1,2026-01-02 06:45:00,0.2343,228.36,4.47,0.969,estimated,legacy_import
R0000047690,1,2026-01-02 07:00:00,0.5302,229.22,10.75,0.904,estimated,legacy_import
R0000047691,1,2026-01-02 07:15:00,0.4449,226.98,8.35,0.903,actual,meter_gateway
R0000047692,1,2026-01-02 07:30:00,0.5141,225.29,9.45,0.942,actual,meter_gateway
R0000047693,1,2026-01-02 07:45:00,0.6547,233.8,11.63,0.898,actual,meter_gateway
R0000047694,1,2026-01-02 08:00:00,0.5049,235.61,9.91,0.901,actual,meter_gateway
R0000047695,1,2026-01-02 08:15:00,0.7133,231.78,13.1,0.95,estimated,legacy_import
R0000047696,1,2026-01-02 08:30:00,0.5459,222.9,10.48,0.946,actual,meter_gateway
R0000047697,1,2026-01-02 08:45:00,0.5439,232.06,9.36,0.974,actual,meter_gateway
R0000047698,1,2026-01-02 09:00:00,0.9485,230.86,18.23,0.912,actual,meter_gateway
R0000047699,1,2026-01-02 09:15:00,0.9312,227.64,16.35,0.923,actual,meter_gateway
R0000047700,1,2026-01-02 09:30:00,0.9741,228.34,18.66,0.887,actual,meter_gateway
R0000047701,1,2026-01-02 09:45:00,1.0392,222.68,20.29,0.979,actual,meter_gateway
R0000047702,1,2026-01-02 10:00:00,1.0661,231.17,18.88,0.93,estimated,legacy_import
R0000047703,1,2026-01-02 10:15:00,1.0863,229.23,21.57,0.936,actual,meter_gateway
R0000047704,1,2026-01-02 10:30:00,1.0089,229.78,17.66,0.974,actual,meter_gateway
R0000047705,1,2026-01-02 10:45:00,1.0757,229.71,20.99,0.912,actual,meter_gateway
R0000047706,1,2026-01-02 11:00:00,0.9585,224.74,18.96,0.933,actual,meter_gateway
R0000047707,1,2026-01-02 11:15:00,1.0296,233.88,17.69,0.93,actual,meter_gateway
R0000047708,1,2026-01-02 11:30:00,0.7043,230.1,12.22,0.983,actual,meter_gateway
R0000047709,1,2026-01-02 11:45:00,1.1967,232.68,21.28,0.952,actual,meter_gateway
R0000047710,1,2026-01-02 12:00:00,1.0012,228.16,17.61,0.945,actual,meter_gateway
R0000047711,1,2026-01-02 12:15:00,1.143,233.19,21.98,0.926,actual,meter_gateway
R0000047712,1,2026-01-02 12:30:00,1.1002,229.34,19.66,0.946,actual,meter_gateway
R0000047713,1,2026-01-02 12:45:00,1.025,234.77,18.06,0.928,actual,meter_gateway
R0000047714,1,2026-01-02 13:00:00,1.2308,229.13,22.34,0.938,actual,meter_gateway
R0000047715,1,2026-01-02 13:15:00,1.0598,230.48,19.87,0.957,actual,meter_gateway
R0000047716,1,2026-01-02 13:30:00,1.0425,232.28,16.69,0.938,actual,meter_gateway
R0000047717,1,2026-01-02 13:45:00,1.0586,228.13,19.98,0.96,estimated,legacy_import
R0000047718,1,2026-01-02 14:00:00,1.0283,228.72,20.5,0.906,estimated,legacy_import
R0000047719,1,2026-01-02 14:15:00,0.8679,226.8,14.93,0.91,actual,meter_gateway
R0000047720,1,2026-01-02 14:30:00,0.8942,229.32,18.3,0.903,actual,meter_gateway
R0000047721,1,2026-01-02 14:45:00,1.0224,234.56,20.78,0.914,actual,meter_gateway
R0000047722,1,2026-01-02 15:00:00,1.1308,227.03,21.7,0.962,actual,meter_gateway
R0000047723,1,2026-01-02 15:15:00,1.0043,230.83,21.45,0.87,actual,meter_gateway
R0000047724,1,2026-01-02 15:30:00,0.9733,224.97,18.07,0.954,actual,meter_gateway
R0000047725,1,2026-01-02 15:45:00,0.938,235.84,16.44,0.95,actual,meter_gateway
R0000047726,1,2026-01-02 16:00:00,1.1773,228.7,20.18,0.943,actual,meter_gateway
R0000047727,1,2026-01-02 16:15:00,1.252,226.47,24.32,0.926,estimated,legacy_import
R0000047728,1,2026-01-02 16:30:00,0.8702,229.36,16.65,0.923,actual,meter_gateway
R0000047729,1,2026-01-02 16:45:00,0.9963,229.13,16.46,0.941,actual,meter_gateway
R0000047730,1,2026-01-02 17:00:00,1.0116,229.97,19.05,0.94,actual,meter_gateway
R0000047731,1,2026-01-02 17:15:00,1.0375,231.57,19.44,0.962,actual,meter_gateway
R0000047732,1,2026-01-02 17:30:00,1.1318,231.28,20.06,0.96,actual,meter_gateway
R0000047733,1,2026-01-02 17:45:00,1.3983,229.91,27.16,0.922,actual,meter_gateway
R0000047734,1,2026-01-02 18:00:00,1.0846,229.22,19.96,0.941,actual,meter_gateway
R0000047735,1,2026-01-02 18:15:00,1.1445,226.64,19.61,0.932,actual,meter_gateway
R0000047736,1,2026-01-02 18:30:00,1.1451,227.51,20.87,0.923,actual,meter_gateway
R0000047737,1,2026-01-02 18:45:00,0.9535,230.46,17.77,0.947,actual,meter_gateway
R0000047738,1,2026-01-02 19:00:00,0.9202,226.49,17.15,0.952,actual,meter_gateway
R0000047739,1,2026-01-02 19:15:00,0.9172,227.54,16.81,0.93,actual,meter_gateway
R0000047740,1,2026-01-02 19:30:00,1.2681,234.99,22.45,0.951,actual,meter_gateway
R0000047741,1,2026-01-02 19:45:00,0.9871,230.59,20.51,0.884,actual,meter_gateway
R0000047742,1,2026-01-02 20:00:00,0.9141,234.3,15.6,0.925,actual,meter_gateway
R0000047743,1,2026-01-02 20:15:00,0.8478,230.58,15.71,0.931,actual,meter_gateway
R0000047744,1,2026-01-02 20:30:00,1.1269,229.45,21.26,0.913,actual,meter_gateway
R0000047745,1,2026-01-02 20:45:00,1.065,233.88,18.55,0.974,actual,meter_gateway
R0000047746,1,2026-01-02 21:00:00,0.5825,230.24,11.16,0.918,actual,meter_gateway
R0000047747,1,2026-01-02 21:15:00,0.4937,233.35,9.96,0.894,actual,meter_gateway
R0000047748,1,2026-01-02 21:30:00,0.6596,230.24,12.02,0.939,actual,meter_gateway
R0000047749,1,2026-01-02 21:45:00,0.5551,230.63,9.33,0.978,actual,meter_gateway
R0000047750,1,2026-01-02 22:00:00,0.574,231.43,11.36,0.94,actual,meter_gateway
R0000047751,1,2026-01-02 22:15:00,0.5482,231.51,9.66,0.924,actual,meter_gateway
R0000047752,1,2026-01-02 22:30:00,0.4766,229.67,9.09,0.965,actual,meter_gateway
R0000047753,,2026-01-02 22:45:00,0.4982,229.59,9.86,0.886,estimated,legacy_import
R0000047754,1,2026-01-02 23:00:00,0.2468,227.17,4.41,1.0,estimated,legacy_import
R0000047755,1,2026-01-02 23:15:00,0.2724,228.24,5.14,0.959,estimated,legacy_import
R0000047756,1,2026-01-02 23:30:00,0.3023,228.53,5.07,0.929,actual,meter_gateway
