reading_id,meter_id,reading_timestamp,energy_kwh,voltage,current,power_factor,reading_type,source_system
R0000287062,1,2026-01-07 00:00:00,0.2793,228.19,5.09,0.907,estimated,legacy_import
R0000287063,1,2026-01-07 00:15:00,0.2462,227.79,4.58,0.996,actual,meter_gateway
R0000287064,1,2026-01-07 00:30:00,0.221,234.01,4.34,0.89,actual,meter_gateway
R0000287065,1,2026-01-07 00:45:00,0.2462,232.16,4.46,0.931,actual,meter_gateway
R0000287066,1,2026-01-07 01:00:00,76.9342,235.53,5.09,0.895,actual,meter_gateway
R0000287067,1,2026-01-07 01:15:00,0.232,231.51,4.13,0.949,actual,meter_gateway
R0000287068,1,2026-01-07 01:30:00,0.2452,231.63,4.46,0.958,estimated,legacy_import
R0000287069,1,2026-01-07 01:45:00,0.2264,237.5,3.94,0.935,actual,meter_gateway
R0000287070,1,2026-01-07 02:00:00,0.247,230.19,4.53,0.948,estimated,legacy_import
R0000287071,1,2026-01-07 02:15:00,0.2499,231.82,4.66,0.875,actual,meter_gateway
R0000287072,1,2026-01-07 02:30:00,0.2873,228.96,5.27,0.909,actual,meter_gateway
R0000287073,1,2026-01-07 02:45:00,0.2606,226.23,4.48,0.983,actual,meter_gateway
R0000287074,1,2026-01-07 03:00:00,0.2621,229.36,4.56,0.96,actual,meter_gateway
R0000287075,1,2026-01-07 03:15:00,0.28,228.67,5.38,0.975,estimated,legacy_import
R0000287076,1,2026-01-07 03:30:00,0.2418,230.61,4.85,0.945,estimated,legacy_import
R0000287077,1,2026-01-07 03:45:00,0.2657,223.7,5.26,0.925,actual,meter_gateway
R0000287078,1,2026-01-07 04:00:00,0.2007,236.94,3.97,0.931,actual,meter_gateway
R0000287079,1,2026-01-07 04:15:00,0.1934,226.12,3.84,0.936,actual,meter_gateway
R0000287080,1,2026-01-07 04:30:00,0.2446,233.38,4.8,0.945,actual,meter_gateway
R0000287081,1,2026-01-07 04:45:00,0.2659,228.81,4.81,0.945,actual,meter_gateway
R0000287082,1,2026-01-07 05:00:00,0.1913,228.68,3.82,0.971,actual,meter_gateway
R0000287083,1,2026-01-07 05:15:00,0.2472,233.92,4.77,0.898,actual,meter_gateway
R0000287084,1,2026-01-07 05:30:00,0.2309,227.49,4.49,0.899,actual,meter_gateway
R0000287085,1,2026-01-07 05:45:00,0.2615,232.21,4.66,0.925,estimated,legacy_import
R0000287086,1,2026-01-07 06:00:00,0.2154,226.8,4.36,0.932,actual,meter_gateway
R0000287087,1,2026-01-07 06:15:00,0.2411,231.52,4.41,0.982,actual,meter_gateway
R0000287088,1,2026-01-07 06:30:00,0.3011,380.0,6.39,0.885,actual,meter_gateway
R0000287089,1,2026-01-07 06:45:00,0.2052,224.1,4.2,0.915,actual,meter_gateway
R0000287090,1,2026-01-07 07:00:00,0.6139,227.52,12.08,0.968,actual,meter_gateway
R0000287091,1,2026-01-07 07:15:00,0.6056,227.57,11.45,0.914,actual,meter_gateway
R0000287092,1,2026-01-07 07:30:00,0.6532,229.13,12.44,0.905,actual,meter_gateway
R0000287093,1,2026-01-07 07:45:00,0.6469,232.73,11.03,0.925,actual,meter_gateway
R0000287094,1,2026-01-07 08:00:00,0.5823,226.9,11.6,0.946,actual,meter_gateway
R0000287095,1,2026-01-07 08:15:00,0.5778,237.72,10.56,0.939,estimated,legacy_import
R0000287096,1,2026-01-07 08:30:00,0.6032,234.13,11.66,0.923,actual,meter_gateway
R0000287097,1,2026-01-07 08:45:00,0.4791,231.96,8.66,0.916,actual,meter_gateway
R0000287098,1,2026-01-07 09:00:00,1.1746,234.71,22.21,0.941,actual,meter_gateway
R0000287099,1,2026-01-07 09:15:00,1.0961,232.33,18.45,0.962,estimated,legacy_import
R0000287100,1,2026-01-07 09:30:00,1.1954,228.05,21.09,0.97,actual,meter_gateway
R0000287101,1,2026-01-07 09:45:00,0.9372,233.25,16.74,0.916,actual,meter_gateway
R0000287102,1,2026-01-07 10:00:00,1.0662,226.99,17.33,0.984,actual,meter_gateway
R0000287103,1,2026-01-07 10:15:00,1.0914,234.35,19.0,0.948,actual,meter_gateway
R0000287104,1,2026-01-07 10:30:00,0.8636,232.52,15.93,0.947,actual,meter_gateway
R0000287105,1,2026-01-07 10:45:00,1.0602,229.48,19.46,0.931,actual,meter_gateway
R0000287106,1,2026-01-07 11:00:00,1.0901,224.23,18.82,0.921,estimated,legacy_import
R0000287107,1,2026-01-07 11:15:00,1.0995,231.4,18.15,0.985,actual,meter_gateway
R0000287108,1,2026-01-07 11:30:00,0.9596,230.6,16.45,0.997,actual,meter_gateway
R0000287109,1,2026-01-07 11:45:00,1.0236,231.22,22.09,0.885,actual,meter_gateway
R0000287110,1,2026-01-07 12:00:00,1.0728,229.74,19.5,0.924,estimated,legacy_import
R0000287111,1,2026-01-07 12:15:00,1.2179,231.65,21.21,0.948,actual,meter_gateway
R0000287112,1,2026-01-07 12:30:00,0.7225,230.57,13.03,0.942,actual,meter_gateway
R0000287113,1,2026-01-07 12:45:00,1.3415,232.34,20.77,0.975,actual,meter_gateway
R0000287114,1,2026-01-07 13:00:00,1.0582,225.68,18.63,0.982,actual,meter_gateway
R0000287115,1,2026-01-07 13:15:00,0.8517,229.31,14.98,0.97,estimated,legacy_import
R0000287116,1,2026-01-07 13:30:00,0.9661,230.84,17.78,0.944,actual,meter_gateway
R0000287117,1,2026-01-07 13:45:00,1.1282,230.68,19.22,0.938,estimated,legacy_import
R0000287118,1,2026-01-07 14:00:00,1.0357,224.89,18.86,0.921,actual,meter_gateway
R0000287119,1,2026-01-07 14:15:00,0.8801,233.69,17.74,0.903,estimated,legacy_import
R0000287120,1,2026-01-07 14:30:00,1.2858,234.81,20.84,0.954,actual,meter_gateway
R0000287121,1,2026-01-07 14:45:00,0.8988,232.29,16.72,0.943,actual,meter_gateway
R0000287122,1,2026-01-07 15:00:00,0.9279,228.68,18.41,0.924,actual,meter_gateway
